conjecture_id,arxiv_id,title,abs_url,pdf_url,source_url,source_file,start_line,end_line,body_tex,plain_text,label,confidence,interestingness_score,interestingness_confidence,interestingness_rationale,viability_score,viability_confidence,viability_rationale,assessment_version,rationale,evidence_snippet,labeled_at
1397,2603.28936v1,Composition of random functions and word reconstruction,http://arxiv.org/abs/2603.28936v1,https://arxiv.org/pdf/2603.28936v1,https://arxiv.org/e-print/2603.28936v1,main.tex,3310,3315,"\label{conj:Schanuel}
	Let $n\geq 1$ and let $x_1,\dots,x_n\in \mathbb{C}$ be $\mathbb{Q}$-linearly independent. Then
	$$
	\trdeg \mathbb{Q}(x_1,\dots,x_n,e^{x_1},\dots,e^{x_n})\geq n.
	$$","Let $n >= 1$ and let $x_1,,x_n in C$ be $Q$-linearly independent. Then $$ Q(x_1,,x_n,e^ x_1 ,,e^ x_n ) >= n. $$",real_open_conjecture,1.0,0.97,0.92,Schanuel's conjecture is a major open transcendence conjecture asserting broad algebraic independence of x_i and e^{x_i}; central in transcendence theory with very wide-reaching consequences if resolved.,0.02,0.85,"Schanuel's conjecture is a major, longstanding open problem in transcendental number theory with no clear imminent breakthrough; near-term resolution is very unlikely.",gpt5mini-v5-open-exact-v1,"Schanuel's conjecture is a classical, major open problem in transcendence theory; the paper cites it as an assumption but does not prove it.",Paper states: 'The following conjecture is a major (and wide open) problem in number theory' and then gives Schanuel's conjecture (lines 3309–3315).,2026-04-05T18:18:45Z
781,2603.02947v1,Acyclic sets and colorings in digraphs under restrictions on degrees and cycle lengths,http://arxiv.org/abs/2603.02947v1,https://arxiv.org/pdf/2603.02947v1,https://arxiv.org/e-print/2603.02947v1,version_03-03-2026.tex,145,146,"\label{conj:EH}{\emph{\cite{EH1989}}} For every graph $H$, there is $\varepsilon_H>0$ such that any graph $G$ on $n$ vertices which does not have $H$ as an induced subgraph satisfies $\max\{\alpha(G),\omega(G)\}\geq n^{\varepsilon_H}$.","For every graph $H$, there is $_H>0$ such that any graph $G$ on $n$ vertices which does not have $H$ as an induced subgraph satisfies $(G),(G) >= n^ _H $.",real_open_conjecture,0.99,0.9,0.95,"The classical Erdős–Hajnal conjecture — a flagship open problem in extremal graph theory whose resolution would have deep, far-reaching structural and theoretical consequences.",0.03,0.75,"Erdős–Hajnal is a decades-old, central open conjecture with many partial special-case results but no general method; full resolution in the next five years is unlikely.",gpt5mini-v5-open-exact-v1,The Erdős–Hajnal conjecture is cited as a central open problem; the paper does not claim a proof or disproof of the general conjecture.,Lines 145–146: Erdős–Hajnal conjecture stated. Line 142–143: described as one of the central questions in extremal graph theory (open).,2026-03-06T07:25:54Z
1183,2603.21000,Motivic Cohomology and K-groups of varieties over higher local fields,https://arxiv.org/abs/2603.21000,https://arxiv.org/pdf/2603.21000,https://arxiv.org/e-print/2603.21000,K-groups-Arxiv.tex,2161,2163,"(Bass Conjecture)
	 The groups $K_{n}(X)$ are finitely generated for all integers $n \geq 0$.",(Bass Conjecture) The groups $K_ n (X)$ are finitely generated for all integers $n >= 0$.,real_open_conjecture,0.99,0.86,0.86,"Classical Bass conjecture in algebraic K-theory: finite generation of K-groups for varieties. Deep, central problem with broad structural consequences in arithmetic geometry and K-theory.",0.02,0.7,"Bass conjecture is a classic, long-standing deep K-theory problem; only low-dimensional cases settled. No concrete route here to finish the full statement within five years.",gpt5mini-v5-open-exact-v1,The paper cites Bass Conjecture as a classical open prediction and explicitly states both conjectures remain open except in low dimensions; authors do not prove it here.,"Lines 2160-2163: statement of Bass Conjecture; Lines 2171-2172: 'In general, both conjectures remain open, except in the case where dim(X) ≤ 1.'",2026-03-29T14:04:36Z
1184,2603.21000,Motivic Cohomology and K-groups of varieties over higher local fields,https://arxiv.org/abs/2603.21000,https://arxiv.org/pdf/2603.21000,https://arxiv.org/e-print/2603.21000,K-groups-Arxiv.tex,2165,2167,"(Parshin Conjecture)
	 $K_{n}(X)$ are torsion for all integers $n \geq 1$.",(Parshin Conjecture) $K_ n (X)$ are torsion for all integers $n >= 1$.,real_open_conjecture,0.99,0.86,0.82,Parshin conjecture asserting torsionness of higher K-groups. A major complementary conjecture to Bass with substantial implications for finiteness and arithmetic K-theory.,0.02,0.7,"Parshin conjecture is a well-known hard conjecture in algebraic K-theory; despite partial progress, no indication of imminent complete resolution.",gpt5mini-v5-open-exact-v1,Parshin Conjecture is presented as a classical open conjecture; paper notes it remains open (except known low-dimensional cases) and does not resolve it.,"Lines 2165-2167: Parshin Conjecture statement; Lines 2171-2172: 'In general, both conjectures remain open, except in the case where dim(X) ≤ 1.'",2026-03-29T14:04:36Z
1189,2603.20961,Graham conjecture on small sets in abelian groups,https://arxiv.org/abs/2603.20961,https://arxiv.org/pdf/2603.20961,https://arxiv.org/e-print/2603.20961,main.tex,123,125,"\label{conj:main}
Let $G$ be an abelian group. Then every subset $A \subseteq G \setminus\{0\}$ is sequenceable.",Let $G$ be an abelian group. Then every subset $A subseteq G 0$ is sequenceable.,real_open_conjecture,0.99,0.78,0.85,"Graham/Alspach sequenceability conjecture is a longstanding, central problem in additive combinatorics and design theory; resolving it would have wide combinatorial consequences.",0.05,0.6,"Graham/Alspach is a prominent, longstanding combinatorial conjecture; recent progress addresses special cases, but full general resolution remains unlikely imminently.",gpt5mini-v5-open-exact-v1,Graham/Alspach conjecture is a well-known open problem; paper notes recent progress for large primes but explicitly states it remains open for general abelian groups.,Lines 103-105 and 121-125: 'recently proved for sufficiently large primes ... it remains open for general abelian groups' and statement of conjecture.,2026-03-29T14:04:36Z
1365,2603.29571v1,Randomstrasse101: Open Problems of 2025,http://arxiv.org/abs/2603.29571v1,https://arxiv.org/pdf/2603.29571v1,https://arxiv.org/e-print/2603.29571v1,Arxiv2025.tex,578,580,"For each dimension $d$, there exists an ETF in $\mathbb{C}^d$ with $n=d^2$ vectors.","For each dimension $d$, there exists an ETF in $C^d$ with $n=d^2$ vectors.",real_open_conjecture,0.99,0.88,0.8,"Zauner's Conjecture (existence of SIC‑POVMs in every dimension) is a central, long-standing conjecture linking quantum information, frame theory, and number theory with wide implications.",0.03,0.4,"Zauner's Conjecture is a classic, long‑standing SIC existence problem; only conditional number‑theory reductions recently. Unconditional resolution within five years seems very unlikely.",gpt5mini-v5-open-exact-v1,"Zauner's Conjecture (existence of SIC-POVMs / ETFs with n=d^2 for all d) is a longstanding, well-known open conjecture; paper notes no unconditional proof.",Lines 576–582: describes ETFs and states Zauner's Conjecture; notes conditional number-theory progress but 'An unconditional proof ... remains unavailable.',2026-04-05T18:09:57Z
137,2602.22502v1,Weakening the Legendre Conjecture,http://arxiv.org/abs/2602.22502v1,https://arxiv.org/pdf/2602.22502v1,https://arxiv.org/e-print/2602.22502v1,legendre-riemann-arxiv.tex,568,571,"\label{conj:cramer}As $n \rightarrow \infty$, we have $p_{n + 1} - p_n = O
  (\log^2 (p_n))$.","As $n $, we have $p_ n + 1 - p_n = O (^2 (p_n))$.",real_open_conjecture,0.98,0.89,0.92,"Cramér's conjecture is a classical, deep prediction on prime gaps; resolving it would fundamentally reshape analytic number theory and probabilistic models of primes.",0.02,0.8,"Cramér's conjecture is a classic, decades-old prime-gap flagship problem with no clear imminent route to resolution; extremely unlikely to be settled within five years.",gpt5mini-v5-open-exact-v1,"Cramér's prime-gap conjecture is a famous, longstanding open problem; the paper cites it as unresolved and does not prove or refute it.","Lines 562-571: “This conjecture is another way to state ... While this is open, ... Specifically, Cramér conjectured ... p_{n+1}-p_n = O(\log^2(p_n)).”",2026-03-06T03:37:50Z
1190,2603.20961,Graham conjecture on small sets in abelian groups,https://arxiv.org/abs/2603.20961,https://arxiv.org/pdf/2603.20961,https://arxiv.org/e-print/2603.20961,main.tex,127,129,"\label{conj:main2}
Let $G$ be an abelian group. Then every subset $A \subseteq G \setminus\{0\}$ whose elements sum to zero and such that $\{x,-x\}\not\subset A$ for any $x\in G$, is sequenceable.","Let $G$ be an abelian group. Then every subset $A subseteq G 0$ whose elements sum to zero and such that $ x,-x subset A$ for any $x in G$, is sequenceable.",real_open_conjecture,0.98,0.6,0.8,"CMPP conjecture for zero-sum subsets without inverse pairs: important for Heffter arrays and sequencing problems. Nontrivial and impactful within combinatorial design, though narrower than full Graham conjecture.",0.05,0.6,"CMPP variant is a strong combinatorial conjecture closely related to Graham; despite incremental advances, a full resolution appears unlikely within five years.",gpt5mini-v5-open-exact-v1,The CMPP conjecture is presented as a conjecture in the introduction; the paper advances small-case results but does not resolve the general conjecture.,Lines 126-129: statement of CMPP conjecture; surrounding text discusses known partial results but not a full proof.,2026-03-29T14:04:36Z
94,2602.23584v1,Cluster type varieties,http://arxiv.org/abs/2602.23584v1,https://arxiv.org/pdf/2602.23584v1,https://arxiv.org/e-print/2602.23584v1,main.tex,1611,1617,"\label{conj:geom-jordan}
There exists a constant $c(n)$, only depending on $n$, satisfying the following. 
Let $X$ be a $n$-dimensional rational variety. 
Let $G$ be a finite group acting on $X$. 
Then, there exists a normal abelian subgroup $A\leqslant G$ of index at most $c(n)$ with 
$A\leqslant \mathbb{G}_m^k \leqslant {\rm Bir}(X)$.","There exists a constant $c(n)$, only depending on $n$, satisfying the following. Let $X$ be a $n$-dimensional rational variety. Let $G$ be a finite group acting on $X$. Then, there exists a normal abelian subgroup $A G$ of index at most $c(n)$ with $A G_m^k Bir (X)$.",real_open_conjecture,0.96,0.8,0.75,A geometric Jordan property for the Cremona group would structurally constrain finite group actions on rational varieties in higher dimensions; important and central for birational group actions and classification problems.,0.18,0.45,"Proved in dimension two, open in dimension three+. There are partial geometric reductions (torus action on base) but known birationally rigid obstructions to lifting; substantial technical gaps remain, so near-term resolution seems unlikely.",gpt5mini-v5-open-exact-v1,"The paper presents this as the 'geometric Jordan property' conjecture, notes it was proved in dimension two, and explicitly states it remains open in dimension three and higher.",Lines 1611–1616: conjecture statement. Lines 1620–1621: 'This conjecture was proved in dimension two... The conjecture remains open in dimension three and higher.',2026-03-06T03:21:54Z
1028,2603.25612,A conditional bound for the least prime in an arithmetic progression,https://arxiv.org/abs/2603.25612,https://arxiv.org/pdf/2603.25612,https://arxiv.org/e-print/2603.25612,main.tex,82,86,"Let $\chi\pmod{q}$ be a Dirichlet character.
Then for any $\varepsilon>0$ and $s=\sigma+it$ satisfying $\sigma\geq 1/2$ and $|s-1|\geq 1/2$, we have
\[L(\sigma+it,\chi)\ll_{\varepsilon}(q(1+|t|))^{\varepsilon}.\]","Let $$ be a Dirichlet character. Then for any $>0$ and $s=+it$ satisfying $ >= 1/2$ and $|s-1| >= 1/2$, we have \[L(+it,)_ (q(1+|t|))^ .\]",real_open_conjecture,0.96,0.88,0.9,The generalized Lindelöf hypothesis is a central analytic‑number‑theory conjecture with wide consequences for L‑functions and distribution of primes in arithmetic progressions; resolving it would be major.,0.01,0.8,Generalized Lindelöf is a major analytic-number-theory conjecture (long-standing); resolution within five years is highly unlikely absent revolutionary breakthroughs.,gpt5mini-v5-open-exact-v1,GLH is a classical unproven hypothesis; the paper assumes GLH to derive conditional results but does not prove it.,"Lines 75-86: ""In its classical form, GLH states... [Conjecture stated]. Our main theorem shows that a bound nearly matching... holds under GLH.""",2026-03-29T13:34:56Z
